502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","56WWB01","PIII 933GHz","128Mb","20Gb","CR. Quiche",,,,
867321374,01/07/2002,"DELL","DELL","Precision 340","59K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","5CWWB01","PIII 933GHz","128Mb","20Gb","Registro",,,,
867318891,28/06/2002,"DELL","DELL","Precision 340","5GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","5K01D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","5KY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","5LY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","5MN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","5MY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","5VK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","5WK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
571473750,05/08/2001,"Dell","DELL","Optiplex GX 150","5Y67L01","PIII 1.0GHz","128Mb","20Gb","Registro","Lic. Alcantara",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","5YX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","5ZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 1",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","6077L01","PIII 1.0GHz","128Mb","20Gb","Facultad de Derecho Matutino",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","60W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","6177L01","PIII 1.0GHz","128Mb","20Gb","Facultad de Ing. Sistemas Matutino",,,,
867323933,01/07/2002,"DELL","DELL","Precision 340","61L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","61W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","61Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","64FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","65FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","66WWB01","PIII 933GHz","128Mb","20Gb","Registro","Evelyn Rios",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","67WWB01","PIII 933GHz","128Mb","20Gb","CR. Retalhuleu",,,,
867321374,01/07/2002,"DELL","DELL","Precision 340","69K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,13/04/2005,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","6BWWB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Laboratorio 3",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","6CWWB01","PIII 933GHz","128Mb","20Gb",,,,,
571473768,05/10/2001,"DELL","DELL","Optiplex Gx 150","6DM6L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","6DWWB01","PIII 933GHz","128Mb","20Gb","Registro","Maria Cruz Santizo",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","6FL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","6GL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","6GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
,,"DELL","DELL","Dimension L700CX","6J08F01",,,,"Medicina","Dra. Colom",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","6J3YB01","PIII 933GHz","128Mb","20Gb","Contabilidad",,,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","6K3YB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Soporte",,31/03/2005,
623735611,28/01/2004,"DELL","DELL","Precision 360","6KW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5","Salul Gallo",,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","6L3YB01","PIII 933GHz","128Mb","20Gb",,,,,
867329245,02/07/2002,"DELL","DELL","Precision 340","6LN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","6MN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","6NY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","6TX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","6VX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","6WSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
